vendors,rDocNumber,rOperationCode,INV.no Check,Inv. Date Check,ExcludeVAT_diff,VAT_diff,IncludeVAT_diff
President,169545066001560,111695,N/A,True,0.05,-0.05,0.0
President,004145066003056,110041,N/A,True,0.05,-0.05,0.0
President,024245066001073,110242,N/A,True,0.11,-0.11,0.0
President,024345066001957,110243,N/A,True,-0.8,0.8,0.0
President,027145066001809,110271,N/A,True,-0.32,0.32,0.0
President,028945066002109,110289,N/A,True,-6.97,6.97,0.0
President,033845066001953,110338,N/A,True,-1.18,1.18,0.0
President,056745066003434,110567,N/A,True,0.26,-0.26,0.0
President,067845066002264,110678,N/A,True,-0.11,0.11,0.0
President,070445066002622,110704,N/A,True,0.21,-0.21,0.0
President,070645066001751,110706,N/A,True,-0.1,0.1,0.0
President,077645066001752,110776,N/A,True,-1.11,1.11,0.0
President,084345066002176,110843,N/A,True,-0.7,0.7,0.0
President,100845066002797,111008,N/A,True,0.37,-0.37,0.0
President,102145066001942,111021,N/A,True,0.75,-0.75,0.0
President,110145066002071,111101,N/A,True,0.11,-0.11,0.0
President,121945066002258,111219,N/A,True,-0.93,0.93,0.0
President,122445066001485,111224,N/A,True,0.11,-0.11,0.0
President,133045066002174,111330,N/A,True,-0.73,0.73,0.0
President,133445066001481,111334,N/A,True,0.11,-0.11,0.0
President,133545066001392,111335,N/A,True,0.21,-0.21,0.0
President,134045066002084,111340,N/A,True,0.11,-0.11,0.0
President,134945066002958,111349,N/A,True,0.1,-0.1,0.0
President,135545066002523,111355,N/A,True,0.1,-0.1,0.0
President,137245066002211,111372,N/A,True,-0.11,0.11,0.0
President,137845066002346,111378,N/A,True,1.08,-1.08,0.0
President,138045066001692,111380,N/A,True,0.11,-0.11,0.0
President,168845066002279,111688,N/A,True,0.53,-0.53,0.0
President,169545066001550,111695,N/A,True,0.06,-0.06,0.0
President,003545066002526,110035,N/A,True,0.48,-0.48,0.0
President,004145066002990,110041,N/A,True,0.22,-0.22,0.0
President,013245066001925,110132,N/A,True,0.37,-0.37,0.0
President,022745066001866,110227,N/A,True,0.59,-0.59,0.0
President,024145066001212,110241,N/A,True,0.49,-0.49,0.0
President,024245066001045,110242,N/A,True,0.11,-0.11,0.0
President,024345066001919,110243,N/A,True,-0.8,0.8,0.0
President,024645066001448,110246,N/A,True,0.37,-0.37,0.0
President,026545066001534,110265,N/A,True,-1.8,1.8,0.0
President,027145066001768,110271,N/A,True,0.32,-0.32,0.0
President,027345066001787,110273,N/A,True,0.75,-0.75,0.0
President,027545066001776,110275,N/A,True,-2.38,2.38,0.0
President,028945066002063,110289,N/A,True,-7.36,7.36,0.0
President,030645066001351,110306,N/A,True,0.06,-0.06,0.0
President,033845066001898,110338,N/A,True,-0.47,0.47,0.0
President,051745066001125,110517,N/A,True,-2.25,2.25,0.0
President,051845066001658,110518,N/A,True,0.54,-0.54,0.0
President,056745066003361,110567,N/A,True,0.59,-0.59,0.0
President,056745066003370,110567,N/A,True,-0.17,0.17,0.0
President,057645066001447,110576,N/A,True,0.64,-0.64,0.0
President,064145066002353,110641,N/A,True,0.21,-0.21,0.0
President,067845066002214,110678,N/A,True,-1.87,1.87,0.0
President,069845066003073,110698,N/A,True,0.49,-0.49,0.0
President,070445066002569,110704,N/A,True,1.02,-1.02,0.0
President,070645066001715,110706,N/A,True,2.45,-2.45,0.0
President,075445066002292,110754,N/A,True,-1.72,1.72,0.0
President,076845066001643,110768,N/A,True,0.21,-0.21,0.0
President,077645066001725,110776,N/A,True,-0.31,0.31,0.0
President,077845066002265,110778,N/A,True,0.38,-0.38,0.0
President,084345066002130,110843,N/A,True,0.26,-0.26,0.0
President,097045066002091,110970,N/A,True,-0.06,0.06,0.0
President,100845066002741,111008,N/A,True,0.74,-0.74,0.0
President,102045066002501,111020,N/A,True,-1.34,1.34,0.0
President,102145066001893,111021,N/A,True,-0.43,0.43,0.0
President,121945066002197,111219,N/A,True,-1.08,1.08,0.0
President,122445066001452,111224,N/A,True,0.48,-0.48,0.0
President,129745066002927,111297,N/A,True,0.75,-0.75,0.0
President,133045066002181,111330,N/A,True,-0.52,0.52,0.0
President,133545066001366,111335,N/A,True,0.05,-0.05,0.0
President,134045066002028,111340,N/A,True,0.21,-0.21,0.0
President,134945066002890,111349,N/A,True,0.1,-0.1,0.0
President,135445066002631,111354,N/A,True,-4.51,4.51,0.0
President,135545066002452,111355,N/A,True,0.1,-0.1,0.0
President,136945066001394,111369,N/A,True,-0.16,0.16,0.0
President,137245066002161,111372,N/A,True,0.32,-0.32,0.0
President,137845066002285,111378,N/A,True,-18.29,18.29,0.0
President,138045066001653,111380,N/A,True,-1.5,1.5,0.0
President,138445066002035,111384,N/A,True,0.05,-0.05,0.0
President,139045066002622,111390,N/A,True,0.54,-0.54,0.0
President,157045066002416,111570,N/A,True,0.21,-0.21,0.0
President,164845066001795,111648,N/A,True,0.54,-0.54,0.0
President,166345066002134,111663,N/A,True,0.27,-0.27,0.0
President,168845066002212,111688,N/A,True,-0.64,0.64,0.0
President,169545066001522,111695,N/A,True,-0.33,0.33,0.0
ThaiNamThip,136345066001549,111363,True,True,18.71,-18.71,0.0
